stone,sku_datatech,descripcion,referencia,marca,u_por_caja,alto_cm,ancho_cm,largo_cm,peso_neto_kg,peso_bruto_kg,CBM,link,garantia
13851,SATQ23UE,THERMAL PRINTER SAT Q23T UE 230MM/S,SAT Q23T UE,SAT POS PRINTERS,8,31.5,43.5,34.5,10,11.24,0.047273625,https://satpcs.com/sp/impresora-termica-sat-serie-q23t-ue-230mm-s.html,2
13406,SATQ78TUSEBW,THERMAL PRINTER SAT Q78T USEBW,SAT Q78T USEBW,SAT POS PRINTERS,6,0,0,0,12.5,13.78,0.051,https://satpcs.com/sp/impresora-termica-sat-q78t-usewb.html,2
11216,SATQ15TU,THERMAL PRINTER SAT Q15T U,SAT Q15T U,SAT POS PRINTERS,12,11,10.6,11.4,5.61,6.14,0.00132924,https://satpcs.com/Descargas/Fichas-tecnicas/impresora-termica-sat-q15-U.pdf,2
2884,SAT38TUSE,THERMAL PRINTER SAT 38TUSE,SAT 38TUSE,SAT POS PRINTERS,4,55,41,25,10,11,0.056375,https://satpcs.com/impresora-sat-38t.html,2
10364,SATQ22UE,THERMAL PRINTER Q22UE,SAT Q22UE,SAT POS PRINTERS,12,32,45.5,61.5,16,18.4,0.089544,https://satpcs.com/impresora-termica-sat-serie-q22.html,1
10365,SATQ22UB,THERMAL PRINTER SAT Q22UB,SAT Q22UB,SAT POS PRINTERS,12,32,45,62,12.5,16.5,0.08928,https://satpcs.com/impresora-termica-sat-serie-q22.html,1
6482,SAT22TUE,THERMAL PRINTER SAT 22T UE,SAT 22TUE,SAT POS PRINTERS,12,39,53,59,20,24.85,0.121953,https://satpcs.com/impresora-termica-sat-22t-ue.html,1
6496,SATDM220USE,DOT MATRIX PRINTER SAT DM220 USE,SAT DM220USE,SAT POS PRINTERS,1,25.5,22.5,31.5,2.87,4.3,0.018,https://satpcs.com/impresora-matriz-de-punto-sat-dm220-us.html,1
10977,SATLD101R+1,BARCODE SCANNER SAT LD101R+1 USB,SAT LD101R+1,SAT POS SCANNERS,40,61.5,43.5,53,23,24,0.14178825,https://satpcs.com/Descargas/Fichas-tecnicas/lector-codigo-de-barras-sat-ld101r+1.pdf,2
10894,SATLI102N+,BARCODE SCANNER SAT LI102N+,SAT LI102N+,SAT POS SCANNERS,50,64.5,47.5,48.5,15,16,0.148591875,https://satpcs.com/lector-de-codigos-de-barras-sat-li102n.html,2
10893,SATL102NW+,BARCODE SCANNER LI102NW+,SAT LI102NW+,SAT POS SCANNERS,50,64.5,47.5,48.5,15,16,0.148591875,https://satpcs.com/lector-de-codigos-de-barras-sat-li102nw.html,2
9379,SATAI402IDOCR,BARCODE SCANNER SAT AI402 ID OCR,SAT AI402 ID OCR,SAT POS SCANNERS,25,53,44,38,10.75,12.75,0.088616,https://satpcs.com/Descargas/Fichas-tecnicas/Lector-Codigos-de-Barras-SAT-AI402-ID-OCR.pdf,1
10750,SATAI402WBTIDOCR,BARCODE SCANNER SAT AI402W BT ID OCR,SAT AI402W BT ID OCR,SAT POS SCANNERS,40,61.5,43.5,52.5,23,24,0.140333,https://satpcs.com/lector-de-codigo-de-barras-sat-ai402w-bt-id-ocr.html,2
10499,SATAI8604ID,BARCODE SCANNER SAT AI8604 ID,SAT AI8604 ID,SAT POS SCANNERS,30,40.5,37.5,60,13,14.5,0.091125,https://satpcs.com/lector-de-codigo-de-barras-sat-ai8604.html,2
3325,SATCERA110MMX300MOUTT,THERMAL TRANSFER RIBBON WAX 110MMX300M OUT,WAX 110MMX300M OUT T,SAT RIBBON,24,30.5,24.5,26,8.29,9.16,0.0194285,https://satpcs.com/cinta-ribbon-cera-sat-110mmx300mts-out.html,0
9842,SATUR1000+,UPS INTERACTIVA LED SAT UR1000+ 120VAC 1000VA/480W                                                                                                    ,SAT UR1000+,SAT UPS,4,23,34,59,19.3,20.3,0.046138,https://satpcs.com/sp/ups-interactiva-1000va-sat-ur1000-plus.html,2
9836,SATUR750+,UPS INTERACTIVA LED SAT UR750+ 120VAC 750VA/360W                                                                                                      ,SAT UR750+,SAT UPS,4,23,34,59,17.87,18.87,0.046138,https://satpcs.com/sp/ups-interactiva-750va-sat-ur750-plus.html,2
12112,SATUR1500+LCD,UPS INTERACTIVA LCD SAT UR1500+ 120VAC 1500VA/900W                                                                                                    ,SAT UR1500+LCD,SAT UPS,2,27,45,47,17,19,0.057105,https://satpcs.com/sp/ups-interactiva-1500va-sat-ur1500-plus-lcd.html,2
12111,SATUR2000PLUSLCD,UPS INTERACTIVA LCD SAT UR2000+ 120VAC 2000VA/1200W                                                                                                   ,SAT UR2000+LCD,SAT UPS,2,30,41,46,22.52,23.71,0.05658,https://satpcs.com/sp/ups-interactiva-2000va-sat-ur2000.html,2
14098,SATVP1000RK3566,VERIFICADOR DE PRECIOS SAT VP1000 ANDROID RK3566 4GB/32GB + SCN 2D,SAT VP1000 RK3566,SAT VERIFICADOR DE PRECIO,6,49.5,30.8,23,7.22,7.8,0.0350658,https://satpcs.com/sp/verificador-precios-sat-vp1000-android.html,2
4128,SAT37TUSE,IMPRESORA TERMICA SAT 37T USE,SAT 37TUSE,SAT POS IMP,18,41,33,69,69,15,0.093357,https://satpcs.com/sp/impresora-termica-sat-37t-use.html,2
